ligand,receptor,source,target,ligand_expr_ctrl,receptor_expr_ctrl,score_ctrl,key,score_rej,ligand_expr_rej,receptor_expr_rej,log2FC
B2M,CD8A,4,3,10.7,0.0,0.0,B2M_CD8A_4_3,4.885714664826708,13.77710843373494,0.35462555066079293,12.254649152770833
B2M,CD8A,3,3,4.5,0.0,0.0,B2M_CD8A_3_3,3.008849385782763,8.484581497797357,0.35462555066079293,11.555475580344453
VCAM1,ITGA4,4,2,6.8136363636363635,0.0,0.0,VCAM1_ITGA4_4_2,2.119424163463275,4.379518072289157,0.48394004282655245,11.050137170825899
B2M,CD8A,10,3,0.8958333333333334,0.0,0.0,B2M_CD8A_10_3,1.8913362701908956,5.333333333333333,0.35462555066079293,10.885952764581317
B2M,CD8A,6,3,3.6666666666666665,0.0,0.0,B2M_CD8A_6_3,1.7060364329086795,4.8108108108108105,0.35462555066079293,10.737278134483958
VEGFA,FLT1,2,4,0.0,3.463636363636364,0.0,VEGFA_FLT1_2_4,1.3158974226671138,0.8843683083511777,1.4879518072289157,10.36292725852308
B2M,CD8A,2,3,1.0,0.0,0.0,B2M_CD8A_2_3,1.2597939797564357,3.5524625267665955,0.35462555066079293,10.30011683577121
CXCL12,CXCR4,4,2,8.077272727272728,0.0,0.0,CXCL12_CXCR4_4_2,1.2228786667010656,7.228915662650603,0.16916488222698073,10.257244823390925
B2M,CD8A,4,6,10.7,0.0,0.0,B2M_CD8A_4_6,1.1791218929773146,13.77710843373494,0.08558558558558559,10.204720165699808
CXCL12,CXCR4,4,6,8.077272727272728,0.0,0.0,CXCL12_CXCR4_4_6,1.1396939107782482,7.228915662650603,0.15765765765765766,10.155696001227602
CXCL12,CXCR4,2,2,2.0,0.0,0.0,CXCL12_CXCR4_2_2,1.0052088826121446,5.942184154175589,0.16916488222698073,9.974714115279602
CXCL12,CXCR4,2,6,2.0,0.0,0.0,CXCL12_CXCR4_2_6,0.936830835117773,5.942184154175589,0.15765765765765766,9.873183904256962
TGFB1,TGFBR2,10,4,0.0,8.754545454545454,0.0,TGFB1_TGFBR2_10_4,0.861732644865175,0.19047619047619047,4.524096385542169,9.75276973679682
B2M,CD8A,4,2,10.7,0.0,0.0,B2M_CD8A_4_2,0.8555377828229406,13.77710843373494,0.06209850107066381,9.742373076351415
C3,C3AR1,3,3,3.0,0.0,0.0,C3_C3AR1_3_3,0.7652681014574317,1.6784140969162995,0.45594713656387664,9.581705439588797
B2M,CD8A,3,6,4.5,0.0,0.0,B2M_CD8A_3_6,0.7261578759376117,8.484581497797357,0.08558558558558559,9.50612481678731
VCAM1,ITGA4,6,2,2.3333333333333335,0.0,0.0,VCAM1_ITGA4_6_2,0.6975712329031386,1.4414414414414414,0.48394004282655245,9.44826342368629
EGF,EGFR,4,3,0.6909090909090909,0.0,0.0,EGF_EGFR_4_3,0.6959290908125896,3.5903614457831323,0.19383259911894274,9.444868066044696
VEGFA,FLT1,2,10,0.0,0.1875,0.0,VEGFA_FLT1_2_10,0.6738044254104211,0.8843683083511777,0.7619047619047619,9.398325624717236
CXCL12,CXCR4,6,2,11.333333333333334,0.0,0.0,CXCL12_CXCR4_6_2,0.671325501089955,3.9684684684684686,0.16916488222698073,9.393016061340743
CXCL12,CXCR4,6,6,11.333333333333334,0.0,0.0,CXCL12_CXCR4_6_6,0.6256594432270108,3.9684684684684686,0.15765765765765766,9.291537816140709
B2M,CD8A,5,3,2.337078651685393,0.0,0.0,B2M_CD8A_5_3,0.6079295154185022,1.7142857142857142,0.35462555066079293,9.250131433273786
VCAM1,ITGA4,3,2,0.5,0.0,0.0,VCAM1_ITGA4_3_2,0.5947985548396834,1.2290748898678414,0.48394004282655245,9.218680813986285
CXCL12,CXCR4,10,2,1.75,0.0,0.0,CXCL12_CXCR4_10_2,0.5477719995921281,3.238095238095238,0.16916488222698073,9.100063061445542
