cell_type,control_mean,rejection_mean,log2FC,pvalue,padj
Macrophage,0.046060400902800475,0.08690925728404357,0.9159828880995556,3.175757733543751e-104,4.4460608269612518e-103
Loop_of_Henle,0.14182477448234262,0.07202074305758431,-0.9776251805655395,1.073152915635858e-86,1.5024140818902013e-85
Collecting_Duct_PC,0.0989560825548002,0.05813165288026887,-0.7674644585730793,3.420643587312654e-62,4.7889010222377156e-61
Plasma_Cell,0.06585277256465243,0.09876249355694038,0.584719079335766,8.430261273108479e-60,1.1802365782351871e-58
T_Cell,0.04690485027340789,0.06724428383888392,0.5196745205709126,2.383555678618966e-37,3.336977950066552e-36
B_Cell,0.04030404369482336,0.0542685248828195,0.42919110288423445,5.599499219546273e-29,7.839298907364783e-28
Proximal_Tubule,0.07834455545715377,0.10051792192002024,0.35954782733361135,6.24140144254249e-17,8.737962019559487e-16
NK_Cell,0.05183823610813325,0.0659813483601642,0.3480416316714078,7.210979639325436e-17,1.009537149505561e-15
Collecting_Duct_IC,0.06453128656792914,0.04984094197820471,-0.3726674538470043,1.4010283148464317e-08,1.9614396407850043e-07
Distal_Tubule,0.07067384483560803,0.06100526308075226,-0.2122426843387247,1.8929737987213105e-06,2.650163318209835e-05
Podocyte,0.05519149421466148,0.06311727379656552,0.19358894830743217,0.008978634039986437,0.1257008765598101
Mesangial,0.06958534411932263,0.056334819857961335,-0.3047565714397452,0.01172012189666877,0.1640817065533628
Fibroblast,0.09918269759681826,0.09525753924350773,-0.05825518416046999,0.11300822367988567,1.5821151315183992
Endothelial,0.07074961662754645,0.0706079362622834,-0.0028919802956843452,0.574476096042465,8.042665344594509
