ligand,receptor,source,target,ligand_expr,receptor_expr,score,pvalue
CTGF,ITGAV,8,4,6.732558139534884,5.119170984455959,34.465116279069775,0.001996007984031936
CTGF,ITGAV,8,8,6.732558139534884,3.3197674418604652,22.350527312060574,0.001996007984031936
VEGFA,FLT1,8,8,7.843023255813954,2.7093023255813953,21.24912114656571,0.001996007984031936
VEGFA,FLT1,8,4,7.843023255813954,2.6139896373056994,20.50158151584528,0.001996007984031936
B2M,CD8A,9,9,35.25,0.45714285714285713,16.114285714285714,0.001996007984031936
CTGF,ITGAV,8,9,6.732558139534884,2.242857142857143,15.100166112956812,0.001996007984031936
CTGF,ITGAV,4,4,2.727979274611399,5.119170984455959,13.964992348787888,0.001996007984031936
B2M,CD8A,1,9,30.318,0.45714285714285713,13.859657142857143,0.001996007984031936
B2M,CD8A,9,1,35.25,0.392,13.818000000000001,0.001996007984031936
CXCL12,CXCR4,5,1,9.281021897810218,1.37,12.715,0.001996007984031936
CTGF,ITGAV,8,1,6.732558139534884,1.888,12.711069767441861,0.001996007984031936
B2M,CD8A,9,3,35.25,0.3530701754385965,12.445723684210526,0.001996007984031936
VEGFA,KDR,8,8,7.843023255813954,1.5406976744186047,12.083727690643592,0.001996007984031936
B2M,CD8A,1,1,30.318,0.392,11.884656000000001,0.001996007984031936
VEGFA,FLT1,4,8,4.139896373056994,2.7093023255813953,11.216230871189298,0.001996007984031936
VEGFA,FLT1,4,4,4.139896373056994,2.6139896373056994,10.821646218690434,0.001996007984031936
B2M,CD8A,9,4,35.25,0.30569948186528495,10.775906735751294,0.001996007984031936
B2M,CD8A,1,3,30.318,0.3530701754385965,10.704381578947368,0.001996007984031936
CXCL12,CXCR4,4,1,7.712435233160622,1.37,10.566036269430052,0.001996007984031936
CXCL12,CXCR4,5,3,9.281021897810218,1.0548245614035088,9.789849852734024,0.001996007984031936
CTGF,ITGAV,9,4,1.8571428571428572,5.119170984455959,9.507031828275352,0.001996007984031936
B2M,CD8A,1,4,30.318,0.30569948186528495,9.26819689119171,0.001996007984031936
CTGF,ITGAV,4,8,2.727979274611399,3.3197674418604652,9.056256777925052,0.001996007984031936
VEGFA,KDR,8,4,7.843023255813954,1.0699481865284974,8.391628509458972,0.001996007984031936
C3,C3AR1,1,9,5.276,1.5571428571428572,8.215485714285714,0.001996007984031936
VEGFA,FLT1,8,9,7.843023255813954,1.042857142857143,8.179152823920267,0.001996007984031936
CXCL12,CXCR4,4,3,7.712435233160622,1.0548245614035088,8.135266112171621,0.001996007984031936
CXCL12,CXCR4,2,1,5.925373134328358,1.37,8.117761194029852,0.001996007984031936
B2M,CD8A,8,9,17.75,0.45714285714285713,8.114285714285714,0.001996007984031936
CTGF,ITGAV,8,5,6.732558139534884,1.1386861313868613,7.666270582244101,0.001996007984031936
VCAM1,ITGA4,4,1,5.766839378238342,1.306,7.531492227979275,0.001996007984031936
CTGF,ITGAV,1,4,1.444,5.119170984455959,7.392082901554405,0.001996007984031936
B2M,CD8A,8,1,17.75,0.392,6.958,0.001996007984031936
B2M,CD8A,9,5,35.25,0.19708029197080293,6.947080291970804,0.001996007984031936
VEGFA,FLT1,8,5,7.843023255813954,0.8759124087591241,6.869801391953828,0.001996007984031936
VCAM1,ITGA4,4,3,5.766839378238342,1.1666666666666667,6.7279792746114,0.001996007984031936
VEGFA,KDR,8,9,7.843023255813954,0.8285714285714286,6.498504983388705,0.001996007984031936
VEGFA,KDR,4,8,4.139896373056994,1.5406976744186047,6.378328714302928,0.001996007984031936
VEGFA,FLT1,9,8,2.3285714285714287,2.7093023255813953,6.308803986710964,0.001996007984031936
CTGF,ITGAV,8,3,6.732558139534884,0.9342105263157895,6.289626682986537,0.001996007984031936
TGFB1,TGFBR2,1,8,0.48,13.081395348837209,6.27906976744186,0.001996007984031936
B2M,CD8A,8,3,17.75,0.3530701754385965,6.266995614035087,0.001996007984031936
CXCL12,CXCR4,2,3,5.925373134328358,1.0548245614035088,6.250229117570044,0.001996007984031936
CTGF,ITGAV,9,8,1.8571428571428572,3.3197674418604652,6.165282392026579,0.001996007984031936
CTGF,ITGAV,4,9,2.727979274611399,2.242857142857143,6.118467801628423,0.001996007984031936
VEGFA,FLT1,9,4,2.3285714285714287,2.6139896373056994,6.086861584011843,0.001996007984031936
B2M,CD8A,1,5,30.318,0.19708029197080293,5.975080291970803,0.001996007984031936
CTGF,ITGAV,8,6,6.732558139534884,0.8488888888888889,5.715193798449613,0.001996007984031936
CXCL12,CXCR4,6,1,4.066666666666666,1.37,5.5713333333333335,0.001996007984031936
C3,C3AR1,9,9,3.5357142857142856,1.5571428571428572,5.505612244897959,0.001996007984031936
B2M,CD8A,4,9,12.023316062176166,0.45714285714285713,5.496373056994819,0.001996007984031936
B2M,CD8A,8,4,17.75,0.30569948186528495,5.426165803108808,0.001996007984031936
VCAM1,ITGA4,1,1,4.038,1.306,5.273628,0.001996007984031936
CTGF,ITGAV,4,1,2.727979274611399,1.888,5.1504248704663205,0.001996007984031936
CTGF,ITGAV,3,4,0.9714912280701754,5.119170984455959,4.973229706390328,0.001996007984031936
CTGF,ITGAV,1,8,1.444,3.3197674418604652,4.793744186046512,0.001996007984031936
B2M,CD8A,4,1,12.023316062176166,0.392,4.7131398963730575,0.001996007984031936
VCAM1,ITGA4,1,3,4.038,1.1666666666666667,4.711,0.001996007984031936
VEGFA,FLT1,6,8,1.6888888888888889,2.7093023255813953,4.575710594315245,0.001996007984031936
VCAM1,ITGA4,4,9,5.766839378238342,0.7928571428571428,4.572279792746114,0.001996007984031936
VEGFA,KDR,4,4,4.139896373056994,1.0699481865284974,4.4294746167682355,0.001996007984031936
VEGFA,FLT1,6,4,1.6888888888888889,2.6139896373056994,4.414738054116293,0.001996007984031936
CXCL12,CXCR4,5,4,9.281021897810218,0.4740932642487047,4.400069967096554,0.001996007984031936
VEGFA,FLT1,8,6,7.843023255813954,0.56,4.392093023255814,0.001996007984031936
VEGFA,FLT1,4,9,4.139896373056994,1.042857142857143,4.3173205033308655,0.001996007984031936
CTGF,ITGAV,10,4,0.8405797101449275,5.119170984455959,4.303071262296313,0.001996007984031936
CXCL12,CXCR4,6,3,4.066666666666666,1.0548245614035088,4.2896198830409356,0.001996007984031936
B2M,CD8A,4,3,12.023316062176166,0.3530701754385965,4.245074311426234,0.001996007984031936
CTGF,ITGAV,9,9,1.8571428571428572,2.242857142857143,4.16530612244898,0.003992015968063872
CXCL12,CXCR4,5,8,9.281021897810218,0.4418604651162791,4.1009166525207945,0.001996007984031936
VCAM1,ITGA4,9,1,3.107142857142857,1.306,4.0579285714285716,0.001996007984031936
CXCL12,CXCR4,8,1,2.953488372093023,1.37,4.046279069767442,0.001996007984031936
TGFB1,TGFBR2,9,8,0.3,13.081395348837209,3.924418604651162,0.001996007984031936
B2M,CD8A,9,8,35.25,0.11046511627906977,3.8938953488372094,0.003992015968063872
B2M,CD8A,3,9,8.467105263157896,0.45714285714285713,3.8706766917293236,0.001996007984031936
CTGF,ITGAV,8,7,6.732558139534884,0.5647668393782384,3.802325581395349,0.001996007984031936
TGFB1,TGFBR2,8,8,0.28488372093023256,13.081395348837209,3.726676581936182,0.001996007984031936
CTGF,ITGAV,8,2,6.732558139534884,0.5522388059701493,3.717979868101354,0.001996007984031936
B2M,CD8A,4,4,12.023316062176166,0.30569948186528495,3.675521490509812,0.001996007984031936
CXCL12,CXCR4,4,4,7.712435233160622,0.4740932642487047,3.656413594995839,0.001996007984031936
VCAM1,ITGA4,4,8,5.766839378238342,0.6337209302325582,3.654566815278949,0.001996007984031936
VEGFA,FLT1,4,5,4.139896373056994,0.8759124087591241,3.6261866041375135,0.001996007984031936
VCAM1,ITGA4,9,3,3.107142857142857,1.1666666666666667,3.6250000000000004,0.001996007984031936
CTGF,ITGAV,5,4,0.7043795620437956,5.119170984455959,3.6058394160583944,0.001996007984031936
VEGFA,KDR,9,8,2.3285714285714287,1.5406976744186047,3.5876245847176085,0.001996007984031936
CTGF,ITGAV,9,1,1.8571428571428572,1.888,3.5062857142857142,0.001996007984031936
B2M,CD8A,8,5,17.75,0.19708029197080293,3.498175182481752,0.001996007984031936
C3,C3AR1,1,1,5.276,0.654,3.450504,0.001996007984031936
VEGFA,KDR,4,9,4.139896373056994,0.8285714285714286,3.43019985196151,0.001996007984031936
CXCL12,CXCR4,4,8,7.712435233160622,0.4418604651162791,3.4078202193035305,0.001996007984031936
B2M,CD8A,1,8,30.318,0.11046511627906977,3.3490813953488376,0.005988023952095809
PDGFB,PDGFRB,8,8,0.9302325581395349,3.5813953488372094,3.331530557057869,0.001996007984031936
TGFB1,TGFBR2,1,4,0.48,6.935233160621761,3.3289119170984454,0.001996007984031936
B2M,CD8A,3,1,8.467105263157896,0.392,3.319105263157895,0.001996007984031936
CXCL12,CXCR4,5,9,9.281021897810218,0.35714285714285715,3.3146506777893636,0.001996007984031936
CTGF,ITGAV,1,9,1.444,2.242857142857143,3.2386857142857144,0.003992015968063872
CTGF,ITGAV,3,8,0.9714912280701754,3.3197674418604652,3.225124949000408,0.001996007984031936
VCAM1,ITGA4,1,9,4.038,0.7928571428571428,3.2015571428571428,0.001996007984031936
CXCL12,CXCR4,7,1,2.284974093264249,1.37,3.1304145077720213,0.001996007984031936
CXCL12,CXCR4,8,3,2.953488372093023,1.0548245614035088,3.1154120767033864,0.001996007984031936
CTGF,ITGAV,4,5,2.727979274611399,1.1386861313868613,3.10631216671079,0.001996007984031936
TGFB1,TGFBR2,3,8,0.23464912280701755,13.081395348837209,3.0695379436964503,0.001996007984031936
VEGFA,FLT1,5,8,1.1313868613138687,2.7093023255813953,3.0652690544899,0.001996007984031936
CXCL12,CXCR4,9,1,2.2142857142857144,1.37,3.033571428571429,0.001996007984031936
CXCL12,CXCR4,10,1,2.2028985507246377,1.37,3.017971014492754,0.007984031936127744
B2M,CD8A,3,3,8.467105263157896,0.3530701754385965,2.989482340720222,0.001996007984031936
CTGF,ITGAV,6,4,0.5822222222222222,5.119170984455959,2.9804951065054692,0.003992015968063872
B2M,CD8A,9,6,35.25,0.08444444444444445,2.9766666666666666,0.031936127744510975
VEGFA,FLT1,5,4,1.1313868613138687,2.6139896373056994,2.9574335312582734,0.001996007984031936
VEGFA,FLT1,8,7,7.843023255813954,0.37305699481865284,2.92589468610676,0.001996007984031936
VEGFA,FLT1,8,10,7.843023255813954,0.36231884057971014,2.841675092686215,0.001996007984031936
CTGF,ITGAV,8,10,6.732558139534884,0.42028985507246375,2.8296258847320526,0.03992015968063872
CXCL12,CXCR4,5,5,9.281021897810218,0.3029197080291971,2.811404443497256,0.001996007984031936
PDGFB,PDGFRB,4,8,0.7849740932642487,3.5813953488372094,2.811302566574286,0.001996007984031936
CXCL12,CXCR4,2,4,5.925373134328358,0.4740932642487047,2.8091794911453096,0.001996007984031936
VCAM1,ITGA4,4,2,5.766839378238342,0.48187633262260127,2.7789034104090944,0.001996007984031936
CXCL12,CXCR4,4,9,7.712435233160622,0.35714285714285715,2.754441154700222,0.005988023952095809
CTGF,ITGAV,1,1,1.444,1.888,2.726272,0.005988023952095809
VCAM1,ITGA4,8,1,2.052325581395349,1.306,2.680337209302326,0.001996007984031936
TGFB1,TGFBR2,4,8,0.20207253886010362,13.081395348837209,2.6433907699722856,0.001996007984031936
C3,C3AR1,3,9,1.6842105263157894,1.5571428571428572,2.6225563909774436,0.001996007984031936
CXCL12,CXCR4,2,8,5.925373134328358,0.4418604651162791,2.6181881291218327,0.015968063872255488
VEGFA,KDR,6,8,1.6888888888888889,1.5406976744186047,2.6020671834625326,0.001996007984031936
CTGF,ITGAV,2,4,0.5074626865671642,5.119170984455959,2.5977882607686955,0.001996007984031936
VEGFA,FLT1,8,3,7.843023255813954,0.32894736842105265,2.5799418604651163,0.001996007984031936
VEGFA,KDR,8,5,7.843023255813954,0.3284671532846715,2.5761755219826856,0.001996007984031936
VCAM1,ITGA4,1,8,4.038,0.6337209302325582,2.55896511627907,0.001996007984031936
CTGF,ITGAV,4,3,2.727979274611399,0.9342105263157895,2.5485069539132805,0.013972055888223553
TGFB1,TGFBR2,1,9,0.48,5.264285714285714,2.5268571428571427,0.001996007984031936
CXCL12,CXCR4,3,1,1.8223684210526316,1.37,2.4966447368421054,0.001996007984031936
VEGFA,KDR,9,4,2.3285714285714287,1.0699481865284974,2.491450777202073,0.001996007984031936
